KmlID,LONGITUDE,LATITUDE,MYID,SBBMNUM
0,104.76147,31.4008007,,0.0
1,104.7560523,31.4011801,,0.0
2,104.7659214,31.4013261,,0.0
3,104.7555746,31.4018449,,0.0
4,104.7606465,31.4026951,,0.0
5,104.7714836,31.4031452,,0.0
6,104.7651247,31.4032268,,0.0
7,104.7627462,31.4033875,,0.0
8,104.7177516,31.4034528,,0.0
9,104.7176933,31.4035776,,0.0
10,104.724476,31.4049527,,0.0
11,104.7247739,31.4049681,,0.0
12,104.7250592,31.4052881,,0.0
13,104.755481,31.405745,,0.0
14,104.7702563,31.4058641,,0.0
15,104.7199894,31.4066421,,0.0
16,104.7191032,31.4067486,,0.0
17,104.7589357,31.4067889,,0.0
18,104.7200838,31.4069475,,0.0
19,104.7202206,31.407362,,0.0
20,104.7193409,31.4074013,,0.0
21,104.7194897,31.4078233,,0.0
22,104.7543804,31.4078514,,0.0
23,104.7631143,31.4079939,,0.0
24,104.7203808,31.408047,,0.0
25,104.7196857,31.4083399,,0.0
26,104.6109608,31.4083945,,0.0
27,104.7180118,31.4084448,,0.0
28,104.7181191,31.4085124,,0.0
29,104.7182146,31.4085777,,0.0
30,104.7183204,31.4086443,,0.0
31,104.610934,31.4087562,,0.0
32,104.7580483,31.4089605,,0.0
33,104.7601103,31.4095971,,0.0
34,104.7686727,31.40973,,0.0
35,104.7538721,31.409878,,0.0
36,104.7621541,31.4102281,,0.0
37,104.7166348,31.4103073,,0.0
38,104.7203178,31.4104407,,0.0
39,104.720454,31.4104411,,0.0
40,104.7572267,31.4109483,,0.0
41,104.7205853,31.4110271,,0.0
42,104.7204608,31.4110892,,0.0
43,104.7735233,31.4112156,,0.0
44,104.7592632,31.4115852,,0.0
45,104.7146448,31.4121054,,0.0
46,104.7143398,31.412206,,0.0
47,104.7613042,31.4122234,,0.0
48,104.7564077,31.4129299,,0.0
49,104.7670681,31.4134366,,0.0
50,104.7584009,31.4135456,,0.0
51,104.760478,31.4141462,,0.0
52,104.7458856,31.414221,,0.0
53,104.7415775,31.4142746,391.0,0.0
54,104.7473003,31.4142764,,0.0
55,104.7413125,31.4144153,,0.0
56,104.748714,31.4144211,,0.0
57,104.741302,31.4144487,,0.0
58,104.7454776,31.4146277,,0.0
59,104.7529033,31.4148136,,0.0
60,104.7575381,31.4155071,,0.0
61,104.6370095,31.4156167,,0.0
62,104.7597923,31.4162624,361.0,0.0
63,104.6733133,31.4165477,,0.0
64,104.7462432,31.4169306,,0.0
65,104.7492044,31.4173472,,0.0
66,104.7490168,31.4174753,,0.0
67,104.7499341,31.4176218,,0.0
68,104.7496444,31.4177775,,0.0
69,104.7651528,31.4180063,360.0,0.0
70,104.7494674,31.4180064,,0.0
71,104.7477507,31.4181941,,0.0
72,104.6359086,31.4183848,,0.0
73,104.7599026,31.4194008,,0.0
74,104.7699893,31.4195314,320.0,0.0
75,104.6751896,31.4195579,,0.0
76,104.6625619,31.4195806,,0.0
77,104.7735994,31.4206403,740.0,2.0
78,104.7592991,31.4206989,,0.0
79,104.7577629,31.4207101,479.0,1.0
80,104.7599911,31.4208946,377.0,0.0
81,104.6759969,31.4212699,,0.0
82,104.6972422,31.421638,,0.0
83,104.7634654,31.4220348,187.0,4.0
84,104.6059558,31.422076,,0.0
85,104.7646818,31.422448,724.0,2.0
86,104.7350306,31.4230545,,0.0
87,104.7619819,31.4230818,,0.0
88,104.7617833,31.4231228,,0.0
89,104.7629583,31.4232592,,0.0
90,104.7682662,31.423689,466.0,0.0
91,104.7365607,31.4238156,,0.0
92,104.7627162,31.4238438,,0.0
93,104.735912,31.423949,,0.0
94,104.7360888,31.424136,,0.0
95,104.7494565,31.4241772,,0.0
96,104.7506085,31.424592,,0.0
97,104.7311805,31.4248808,,0.0
98,104.7722283,31.4250396,,0.0
99,104.7723327,31.4250677,186.0,4.0
100,104.7539965,31.4254645,,0.0
101,104.7675064,31.4254749,,0.0
102,104.747971,31.4261514,,0.0
103,104.7509658,31.4262526,,0.0
104,104.7506045,31.4262647,,0.0
105,104.7493278,31.4262885,,0.0
106,104.7632499,31.4263233,,0.0
107,104.7541445,31.4263744,,0.0
108,104.7549834,31.4263816,,0.0
109,104.755293,31.4263975,,0.0
110,104.7543923,31.4263977,,0.0
111,104.7628251,31.4264111,,0.0
112,104.7541654,31.4264673,,0.0
113,104.7550784,31.4265116,,0.0
114,104.7633341,31.4265652,,0.0
115,104.7670571,31.4265713,,0.0
116,104.7621886,31.4266723,,0.0
117,104.7542285,31.4267485,,0.0
118,104.7479707,31.4267521,,0.0
119,104.7488571,31.4267741,,0.0
120,104.7532663,31.4269019,,0.0
121,104.7505817,31.4269333,,0.0
122,104.7508942,31.4270795,,0.0
123,104.7481637,31.4272259,,0.0
124,104.7483319,31.427316,,0.0
125,104.6643498,31.4273273,,0.0
126,104.7636101,31.4273809,,0.0
127,104.7631803,31.4274736,,0.0
128,104.7624877,31.4276393,,0.0
129,104.7710378,31.4278105,,0.0
130,104.7711406,31.4278427,225.0,6.0
131,104.7326275,31.4280556,,0.0
132,104.7324191,31.428061,,0.0
133,104.7492248,31.4281475,,0.0
134,104.7472016,31.4282986,723.0,1.0
135,104.7470354,31.4284444,,0.0
136,104.7738217,31.4287227,,0.0
137,104.7640682,31.4287356,,0.0
138,104.7636273,31.4288098,,0.0
139,104.7491289,31.428917,455.0,0.0
140,104.7628901,31.4289869,,0.0
141,104.7247519,31.4290073,,0.0
142,104.7248698,31.4290126,,0.0
143,104.7482226,31.4291511,,0.0
144,104.7481154,31.429185,,0.0
145,104.7367481,31.4292995,,0.0
146,104.7642844,31.4293703,,0.0
147,104.680335,31.4294425,,0.0
148,104.7638489,31.4294725,,0.0
149,104.7449048,31.4294912,,0.0
150,104.7643568,31.4295784,429.0,0.0
151,104.6551187,31.4300911,,0.0
152,104.6804823,31.4301292,,0.0
153,104.7352837,31.430192,,0.0
154,104.7645524,31.4302865,,0.0
155,104.7698403,31.4305977,276.0,4.0
156,104.7646475,31.4306201,,0.0
157,104.7637541,31.4308179,,0.0
158,104.7485926,31.4311374,678.0,1.0
159,104.7486938,31.4312248,,0.0
160,104.7726115,31.4314849,318.0,0.0
161,104.7651528,31.4319776,317.0,0.0
162,104.7490298,31.4319841,,0.0
163,104.7516399,31.4322907,,0.0
164,104.7534585,31.4323937,,0.0
165,104.7280553,31.4323966,,0.0
166,104.6805413,31.4324199,,0.0
167,104.6806925,31.4325004,,0.0
168,104.740786,31.4328802,,0.0
169,104.6883108,31.4329186,,0.0
170,104.7687606,31.4331106,224.0,0.0
171,104.749234,31.4331901,,0.0
172,104.7513154,31.4335265,,0.0
173,104.7252244,31.433629,,0.0
174,104.7253597,31.4336359,,0.0
175,104.6677697,31.4338872,,0.0
176,104.7421905,31.4339042,,0.0
177,104.7425848,31.4339362,,0.0
178,104.7423219,31.4340049,,0.0
179,104.7715418,31.4340492,,0.0
180,104.7429408,31.4340858,,0.0
181,104.7423102,31.4340861,,0.0
182,104.7418497,31.4341056,,0.0
183,104.7419462,31.4341788,,0.0
184,104.742091,31.4343664,,0.0
185,104.7431085,31.4343868,,0.0
186,104.7512341,31.4344077,,0.0
187,104.742543,31.4345631,,0.0
188,104.7424487,31.4345709,,0.0
189,104.7549793,31.4345724,,0.0
190,104.7428683,31.4346437,,0.0
191,104.7431264,31.4350665,,0.0
192,104.7419686,31.4350871,,0.0
193,104.7251919,31.4351355,,0.0
194,104.6887503,31.4352518,,0.0
195,104.7434237,31.4352601,,0.0
196,104.6892706,31.4353089,,0.0
197,104.7165943,31.4353643,,0.0
198,104.7412913,31.4354583,,0.0
199,104.7536436,31.4354946,,0.0
200,104.7426812,31.4355196,,0.0
201,104.7423464,31.4355517,,0.0
202,104.7433893,31.4356249,,0.0
203,104.7431711,31.4358206,,0.0
204,104.7381647,31.43584,,0.0
205,104.7440964,31.4360178,,0.0
206,104.7419064,31.4360376,,0.0
207,104.7674583,31.4361482,,0.0
208,104.7673893,31.4363091,195.0,2.0
209,104.7291668,31.4365235,,0.0
210,104.6823251,31.4365762,,0.0
211,104.6817197,31.4367747,,0.0
212,104.7703026,31.4370192,,0.0
213,104.7476541,31.4372338,,0.0
214,104.7377702,31.4376184,,0.0
215,104.7729581,31.4378324,,0.0
216,104.7728987,31.4379738,694.0,6.0
217,104.75474,31.437989,,0.0
218,104.7474557,31.4382339,,0.0
219,104.7413669,31.4384258,339.0,2.0
220,104.725735,31.4386231,,0.0
221,104.7205234,31.4386755,,0.0
222,104.6415967,31.43879,,0.0
223,104.7251468,31.4387988,,0.0
224,104.7250254,31.4388171,,0.0
225,104.7395448,31.4396006,,0.0
226,104.7250069,31.4400303,632.0,3.0
227,104.6728353,31.440201,720.0,5.0
228,104.6729801,31.4405488,,0.0
229,104.6724562,31.4407625,,0.0
230,104.7147659,31.4408331,,0.0
231,104.7655486,31.4410399,46.0,4.0
232,104.7165166,31.4410625,,0.0
233,104.7656555,31.4410688,,0.0
234,104.6730084,31.4411172,,0.0
235,104.7714802,31.4413443,,0.0
236,104.6697501,31.4413751,,0.0
237,104.6702555,31.4415284,,0.0
238,104.7652973,31.4416552,,0.0
239,104.7542464,31.441685,,0.0
240,104.6738989,31.4418404,,0.0
241,104.724924,31.4418638,,0.0
242,104.7187437,31.4422938,,0.0
243,104.6675762,31.442376,,0.0
244,104.7681997,31.4428801,,0.0
245,104.7313747,31.4433747,426.0,0.0
246,104.7204111,31.4434935,,0.0
247,104.7270953,31.4438392,,0.0
248,104.7692173,31.4439231,,0.0
249,104.7209917,31.4439318,,0.0
250,104.6471902,31.4440076,,0.0
251,104.7281473,31.4443314,,0.0
252,104.7251985,31.4443719,,0.0
253,104.7250932,31.4443792,,0.0
254,104.7637619,31.4443811,,0.0
255,104.6404558,31.4443916,,0.0
256,104.725231,31.4445188,,0.0
257,104.7251172,31.4445319,,0.0
258,104.6646404,31.444582,,0.0
259,104.7635876,31.444591,41.0,4.0
260,104.7642034,31.4446502,,0.0
261,104.726323,31.4448442,,0.0
262,104.6431368,31.4450324,,0.0
263,104.7534997,31.4450715,,0.0
264,104.7254317,31.4451105,427.0,2.0
265,104.6459777,31.4451402,,0.0
266,104.7253253,31.4451423,,0.0
267,104.7162392,31.4452032,,0.0
268,104.6337678,31.4452452,,0.0
269,104.7517999,31.4452673,,0.0
270,104.7518692,31.445281,,0.0
271,104.752109,31.4453286,,0.0
272,104.7517803,31.4453593,20.0,2.0
273,104.7518512,31.4453734,,0.0
274,104.7477108,31.4454161,,0.0
275,104.762075,31.4454203,,0.0
276,104.6459339,31.4454883,,0.0
277,104.7532113,31.4455394,,0.0
278,104.7527061,31.4455431,,0.0
279,104.7256227,31.445676,,0.0
280,104.7255195,31.4457118,,0.0
281,104.7544193,31.4457798,,0.0
282,104.7501029,31.4457811,,0.0
283,104.7501148,31.4458697,550.0,0.0
284,104.654238,31.4459045,,0.0
285,104.6999149,31.445916,,0.0
286,104.7458338,31.4460157,,0.0
287,104.755214,31.4460612,21.0,1.0
288,104.7638468,31.4461621,,0.0
289,104.7362967,31.4462033,,0.0
290,104.6823383,31.4462077,,0.0
291,104.7184255,31.446226,,0.0
292,104.7455374,31.4462478,,0.0
293,104.6824098,31.4462616,,0.0
294,104.754819,31.4462685,,0.0
295,104.7465726,31.4463312,,0.0
296,104.7452808,31.4464047,,0.0
297,104.770751,31.4464516,,0.0
298,104.7453294,31.4464905,39.0,0.0
299,104.7191853,31.4466095,,0.0
300,104.7262892,31.4469713,,0.0
301,104.7261858,31.4470158,,0.0
302,104.7108555,31.4471608,,0.0
303,104.765165,31.4473318,,0.0
304,104.742433,31.4474536,,0.0
305,104.7415122,31.4475463,,0.0
306,104.6399557,31.4475788,,0.0
307,104.7415645,31.4476152,505.0,2.0
308,104.630578,31.4477385,,0.0
309,104.6304535,31.4477421,,0.0
310,104.6426667,31.4477769,,0.0
311,104.6856176,31.447904,,0.0
312,104.6305925,31.4479044,,0.0
313,104.6304207,31.4479067,,0.0
314,104.7219909,31.4479962,428.0,0.0
315,104.6456953,31.4479983,,0.0
316,104.7595547,31.4480373,,0.0
317,104.7616362,31.4482398,,0.0
318,104.7592241,31.4482929,,0.0
319,104.7443981,31.4483293,,0.0
320,104.7147033,31.4483445,,0.0
321,104.7520459,31.4484184,741.0,4.0
322,104.7519648,31.4484283,492.0,0.0
323,104.7525183,31.4485008,,0.0
324,104.752191,31.4485248,,0.0
325,104.6244488,31.4485699,,0.0
326,104.7514855,31.4485748,,0.0
327,104.7229583,31.4485882,,0.0
328,104.768725,31.448724,,0.0
329,104.7441905,31.4490224,,0.0
330,104.7443727,31.4490476,31.0,0.0
331,104.7494052,31.4491253,,0.0
332,104.7512269,31.4491493,,0.0
333,104.7713343,31.4491847,,0.0
334,104.7111655,31.4495517,,0.0
335,104.759938,31.4495521,,0.0
336,104.7440376,31.4495672,717.0,2.0
337,104.7280639,31.4496101,,0.0
338,104.6020718,31.4496152,,0.0
339,104.6019508,31.4496473,515.0,0.0
340,104.7727345,31.4496532,,0.0
341,104.6018291,31.4497246,,0.0
342,104.7562059,31.449764,,0.0
343,104.7599166,31.449964,697.0,2.0
344,104.7728768,31.4499669,,0.0
345,104.7603232,31.4499779,383.0,0.0
346,104.7209965,31.4500284,,0.0
347,104.7213603,31.4501751,,0.0
348,104.716043,31.4501984,,0.0
349,104.748191,31.4502162,,0.0
350,104.7160009,31.4502537,,0.0
351,104.6257642,31.4504473,,0.0
352,104.7211581,31.450471,,0.0
353,104.7521854,31.4504817,,0.0
354,104.7548945,31.4505079,,0.0
355,104.7382344,31.4505133,246.0,2.0
356,104.6856041,31.4505144,,0.0
357,104.7510876,31.4505374,,0.0
358,104.7524473,31.4505961,,0.0
359,104.7522905,31.4506017,,0.0
360,104.7620118,31.4506102,796.0,1.0
361,104.6526864,31.4506788,,0.0
362,104.7481558,31.4507042,,0.0
363,104.6422968,31.4507874,,0.0
364,104.6454387,31.4508756,,0.0
365,104.7254938,31.4508885,,0.0
366,104.639684,31.4508956,,0.0
367,104.6949229,31.4509047,,0.0
368,104.6373184,31.4509689,,0.0
369,104.6422621,31.4510072,,0.0
370,104.6396931,31.4511136,,0.0
371,104.7488509,31.4511263,,0.0
372,104.7213947,31.4511353,,0.0
373,104.6584051,31.4511377,,0.0
374,104.7684826,31.4511783,,0.0
375,104.6713983,31.4511857,667.0,6.0
376,104.6373276,31.4511868,,0.0
377,104.6810491,31.4512082,648.0,3.0
378,104.6046348,31.451223,641.0,2.0
379,104.7583189,31.4512568,411.0,0.0
380,104.6581252,31.4512628,,0.0
381,104.7584575,31.4512745,,0.0
382,104.6305635,31.4513098,,0.0
383,104.6297755,31.451312,,0.0
384,104.736177,31.4513165,,0.0
385,104.6256862,31.4513233,,0.0
386,104.6825315,31.4513377,,0.0
387,104.6737752,31.4513475,425.0,0.0
388,104.6811509,31.4513494,,0.0
389,104.7736123,31.45135,,0.0
390,104.6838367,31.4513511,,0.0
391,104.6808346,31.4513521,,0.0
392,104.6874295,31.4513627,,0.0
393,104.6744696,31.4513671,,0.0
394,104.6856133,31.4513694,,0.0
395,104.7361064,31.4513835,371.0,0.0
396,104.7189796,31.4514549,,0.0
397,104.7582463,31.4514642,,0.0
398,104.6744163,31.4515277,,0.0
399,104.6658035,31.451547,,0.0
400,104.7585983,31.4515716,,0.0
401,104.7188042,31.451654,553.0,0.0
402,104.7721201,31.4516679,,0.0
403,104.7194399,31.4516755,,0.0
404,104.7186517,31.4517155,,0.0
405,104.6171017,31.4517236,,0.0
406,104.7187487,31.4517638,,0.0
407,104.6172836,31.4517836,,0.0
408,104.7080299,31.451863,424.0,2.0
409,104.6889421,31.4518896,,0.0
410,104.7728401,31.4518899,,0.0
411,104.7577356,31.4519227,433.0,0.0
412,104.7580907,31.4519546,,0.0
413,104.75502,31.4519556,395.0,0.0
414,104.7589774,31.4519925,549.0,0.0
415,104.7524403,31.4520004,,0.0
416,104.7523422,31.4520065,184.0,4.0
417,104.7733091,31.4520345,,0.0
418,104.7432121,31.4520856,30.0,0.0
419,104.7506745,31.4520882,432.0,0.0
420,104.7715118,31.4521292,,0.0
421,104.7490009,31.4521522,363.0,0.0
422,104.6838312,31.4521682,,0.0
423,104.7473554,31.4521789,519.0,0.0
424,104.7123901,31.4522038,440.0,0.0
425,104.764226,31.4522468,,0.0
426,104.6910476,31.4523218,,0.0
427,104.605564,31.452344,558.0,0.0
428,104.7154453,31.4525444,414.0,0.0
429,104.7425887,31.4527075,,0.0
430,104.7700416,31.4527466,,0.0
431,104.7729942,31.4527759,,0.0
432,104.7427393,31.4528241,18.0,6.0
433,104.7715151,31.4528544,,0.0
434,104.7123335,31.4529064,,0.0
435,104.6234139,31.4529066,,0.0
436,104.7669918,31.4529189,,0.0
437,104.6234956,31.4529295,,0.0
438,104.6233974,31.4529632,,0.0
439,104.6234812,31.4529876,207.0,0.0
440,104.6942222,31.4530594,,0.0
441,104.7599547,31.4530925,175.0,0.0
442,104.7507646,31.4531101,,0.0
443,104.760022,31.4531865,,0.0
444,104.6279088,31.4532173,,0.0
445,104.6855664,31.4532439,,0.0
446,104.7491841,31.4532643,,0.0
447,104.6423858,31.4533431,,0.0
448,104.7680714,31.4533878,,0.0
449,104.7575287,31.4534359,,0.0
450,104.7575411,31.4534931,567.0,3.0
451,104.732466,31.4535057,,0.0
452,104.6855583,31.4536192,,0.0
453,104.743335,31.4536341,,0.0
454,104.6972832,31.4537206,642.0,3.0
455,104.7177232,31.4537708,495.0,1.0
456,104.7678104,31.4538095,,0.0
457,104.6905242,31.4538134,,0.0
458,104.7550764,31.4538653,174.0,0.0
459,104.7550842,31.4539233,,0.0
460,104.6812019,31.453983,577.0,0.0
461,104.7331368,31.4540179,,0.0
462,104.6806837,31.4540313,,0.0
463,104.7332417,31.4540478,331.0,0.0
464,104.7607062,31.4541194,,0.0
465,104.6570464,31.4541709,,0.0
466,104.7701355,31.454194,,0.0
467,104.7227484,31.4542026,,0.0
468,104.6565386,31.4542236,437.0,0.0
469,104.6279157,31.4542492,,0.0
470,104.7396903,31.4542581,,0.0
471,104.7526427,31.4542898,,0.0
472,104.7227119,31.4542924,,0.0
473,104.6569864,31.4542938,,0.0
474,104.7525549,31.4543072,242.0,0.0
475,104.654083,31.45432,,0.0
476,104.656058,31.4543291,,0.0
477,104.6282973,31.454361,,0.0
478,104.7526496,31.4543676,,0.0
479,104.7525623,31.454388,,0.0
480,104.7444731,31.4543983,551.0,0.0
481,104.7398467,31.4544061,29.0,2.0
482,104.7188204,31.4544181,690.0,1.0
483,104.7028941,31.4544243,,0.0
484,104.6230755,31.4544607,,0.0
485,104.648919,31.4544777,,0.0
486,104.6489213,31.4545341,,0.0
487,104.7028707,31.4545367,,0.0
488,104.6078667,31.4545745,,0.0
489,104.6937018,31.4545787,,0.0
490,104.6450473,31.4545977,281.0,3.0
491,104.7191646,31.4546243,,0.0
492,104.7508983,31.4546259,173.0,0.0
493,104.6077896,31.4546357,476.0,0.0
494,104.6450496,31.4546541,,0.0
495,104.7573954,31.4546592,506.0,0.0
496,104.7322135,31.4546669,,0.0
497,104.6996267,31.4546748,,0.0
498,104.7607169,31.454678,,0.0
499,104.6080365,31.4546873,,0.0
500,104.709245,31.4547095,,0.0
