KmlID,MYID,SBBMNUM,newLONGITUDE,newLATITUDE,TureKmlID
1433.0,,0.0,104.6765408,31.4797236,728
1431.0,,0.0,104.6765408,31.4797236,728
1426.0,,0.0,104.6763098,31.4796624,728
1442.0,543.0,0.0,104.6954153,31.4799517,729
1432.0,,0.0,104.6831954,31.479688,730
1443.0,,0.0,104.6831954,31.479688,730
1444.0,,0.0,104.7668496,31.4800456,731
1446.0,389.0,4.0,104.7537405,31.4802385,732
1448.0,,0.0,104.7537405,31.4802385,732
1447.0,170.0,0.0,104.7456661,31.4802677,733
1449.0,,0.0,104.7524999,31.4802756,734
1450.0,332.0,3.0,104.750537,31.4802843,735
1452.0,163.0,4.0,104.7383672,31.4803948,736
1454.0,,0.0,104.6773375,31.480479,737
1456.0,,0.0,104.764248,31.4805433,738
1459.0,,0.0,104.7144988,31.480604,739
1462.0,,0.0,104.7353521,31.4806285,740
1460.0,42.0,9.0,104.7353521,31.4806285,740
1461.0,368.0,2.0,104.7426807,31.4802338,741
1440.0,,0.0,104.7426807,31.4802338,741
1463.0,568.0,4.0,104.7688976,31.4806301,742
1468.0,,0.0,104.7689974,31.4807172,742
1453.0,,0.0,104.6333228,31.4805932,743
1465.0,,0.0,104.6333228,31.4805932,743
1458.0,,0.0,104.7092875,31.4806751,744
1467.0,,0.0,104.7092875,31.4806751,744
1451.0,,0.0,104.7092875,31.4806751,744
1455.0,,0.0,104.7092875,31.4806751,744
1457.0,,0.0,104.7689974,31.4807172,745
1445.0,,0.0,104.7687978,31.4805431,745
1469.0,,0.0,104.6296075,31.4808402,746
1470.0,,0.0,104.7617438,31.4807934,747
1466.0,,0.0,104.7617438,31.4807934,747
1464.0,,0.0,104.7617438,31.4807934,747
1471.0,,0.0,104.7602925,31.4809302,748
1472.0,,0.0,104.719265,31.4809425,749
1474.0,,0.0,104.6660117,31.4810242,750
1475.0,,0.0,104.7120721,31.4810828,751
1476.0,,0.0,104.6098462,31.4811047,752
1477.0,,0.0,104.7109302,31.481195,753
1478.0,274.0,3.0,104.7301857,31.4812084,754
1479.0,542.0,0.0,104.6973547,31.4812604,755
1481.0,,0.0,104.6761814,31.4812987,756
1482.0,,0.0,104.6737037,31.4813196,757
1483.0,,0.0,104.7052609,31.4813046,758
1480.0,,0.0,104.7052609,31.4813046,758
1473.0,390.0,0.0,104.755668,31.4814356,759
1485.0,,0.0,104.755668,31.4814356,759
1487.0,,0.0,104.755668,31.4814356,759
1488.0,,0.0,104.7134826,31.4816248,760
1489.0,,0.0,104.7134826,31.4816248,760
1491.0,,0.0,104.7387697,31.4817852,761
1490.0,536.0,0.0,104.6918725,31.4817785,762
1493.0,,0.0,104.6918725,31.4817785,762
1495.0,445.0,0.0,104.6847457,31.4819841,763
1496.0,290.0,0.0,104.7071114,31.4820791,764
1486.0,,0.0,104.7720973,31.4818303,765
1497.0,,0.0,104.7720973,31.4818303,765
1499.0,747.0,2.0,104.7634731,31.4819045,766
1492.0,,0.0,104.7634731,31.4819045,766
1484.0,,0.0,104.7634731,31.4819045,766
1505.0,,0.0,104.6990653,31.4824699,767
1504.0,289.0,0.0,104.6990653,31.4824699,767
1503.0,,0.0,104.7612661,31.4824702,768
1506.0,,0.0,104.7612661,31.4824702,768
1508.0,570.0,0.0,104.7558726,31.4825781,769
1498.0,,0.0,104.7684041,31.4825072,770
1510.0,660.0,4.0,104.7684041,31.4825072,770
