KmlID,LONGITUDE,LATITUDE,MYID,SBBMNUM,newKmlID,newLONGITUDE,newLATITUDE
1549.0,104.7515689,31.4849427,,0.0,1549.0,104.7512134,31.4848301
1550.0,104.6953393,31.485025,288.0,4.0,1550.0,104.6953565,31.4851508
1551.0,104.7119101,31.4850355,,0.0,1559.0,104.7119962,31.4853718
1552.0,104.7303479,31.4850683,,0.0,1552.0,104.7303734,31.4849066
1553.0,104.6952252,31.485093,,0.0,1550.0,104.6953565,31.4851508
1554.0,104.7185977,31.4851128,,0.0,1554.0,104.7185977,31.4851128
1555.0,104.6954511,31.4851327,,0.0,1550.0,104.6953565,31.4851508
1556.0,104.6900356,31.4851479,,0.0,1556.0,104.6900356,31.4851479
1557.0,104.6953464,31.4852056,,0.0,1550.0,104.6953565,31.4851508
1558.0,104.7715339,31.4854023,,0.0,1558.0,104.7715339,31.4854023
1559.0,104.7120823,31.4857082,732.0,1.0,1559.0,104.7119962,31.4853718
1560.0,104.7366067,31.4857426,,0.0,1561.0,104.736508,31.4855236
1561.0,104.7364878,31.4857462,,0.0,1561.0,104.736508,31.4855236
1562.0,104.7692807,31.4857894,219.0,0.0,1563.0,104.7691945,31.485816
1563.0,104.7691084,31.4858426,,0.0,1563.0,104.7691945,31.485816
1564.0,104.7404037,31.4858675,,0.0,1564.0,104.7404037,31.4858675
1565.0,104.7259285,31.4859271,,0.0,1566.0,104.7259227,31.4859672
1566.0,104.7259168,31.4860073,,0.0,1566.0,104.7259227,31.4859672
1567.0,104.7047817,31.4860187,,0.0,1580.0,104.7044223,31.4866595
1568.0,104.7048791,31.4860641,,0.0,1598.0,104.7044223,31.4866595
1569.0,104.7041551,31.4860827,,0.0,1598.0,104.7044223,31.4866595
1570.0,104.7676795,31.486188,711.0,2.0,1570.0,104.7676795,31.486188
1571.0,104.7285595,31.4862008,,0.0,1592.0,104.7288561,31.4865685
1572.0,104.728358,31.4863014,,0.0,1592.0,104.7288561,31.4865685
1573.0,104.6875459,31.4863045,,0.0,1573.0,104.6875459,31.4863045
1574.0,104.7656124,31.4863085,691.0,2.0,1574.0,104.7656124,31.4863085
1575.0,104.7045123,31.4863308,,0.0,1598.0,104.7044223,31.4866595
1576.0,104.7283367,31.4863762,,0.0,1592.0,104.7288561,31.4865685
1577.0,104.672585,31.4863823,,0.0,1586.0,104.6726328,31.486486
1578.0,104.7077103,31.4863848,,0.0,1578.0,104.7077103,31.4863848
1579.0,104.7297637,31.486386,193.0,2.0,1579.0,104.7299856,31.4866394
1580.0,104.704606,31.4863976,254.0,5.0,1580.0,104.7044223,31.4866595
1581.0,104.6837611,31.4864442,547.0,0.0,1585.0,104.6836894,31.486478
1582.0,104.6636315,31.4864623,,0.0,1582.0,104.6636315,31.4864623
1583.0,104.6727342,31.4864817,,0.0,1586.0,104.6726328,31.486486
1584.0,104.6798814,31.4865045,420.0,0.0,1584.0,104.6798814,31.4865045
1585.0,104.6836176,31.4865117,,0.0,1585.0,104.6836894,31.486478
1586.0,104.6726061,31.4865401,,0.0,1586.0,104.6726328,31.486486
1587.0,104.6750984,31.4866102,,0.0,1614.0,104.6749908,31.4869363
1588.0,104.7303108,31.4866215,,0.0,1579.0,104.7299856,31.4866394
1589.0,104.7283802,31.4866393,,0.0,1579.0,104.7288561,31.4865685
1590.0,104.6029998,31.4866404,,0.0,1603.0,104.602923,31.4868023
1591.0,104.7049383,31.4866532,,0.0,1580.0,104.7044223,31.4866595
1592.0,104.7293231,31.4866606,231.0,0.0,1579.0,104.7288561,31.4865685
1593.0,104.7314183,31.4866674,,0.0,1601.0,104.7314458,31.4867481
1594.0,104.603087,31.4866904,,0.0,1603.0,104.602923,31.4868023
1595.0,104.730291,31.4866965,,0.0,1579.0,104.7299856,31.4866394
1596.0,104.7042227,31.4867019,,0.0,1580.0,104.7044223,31.4866595
1597.0,104.7314478,31.4867244,,0.0,1601.0,104.7314458,31.4867481
1598.0,104.7043601,31.4867305,,0.0,1580.0,104.7044223,31.4866595
1599.0,104.6746118,31.48676,,0.0,1614.0,104.6749908,31.4869363
1600.0,104.7431957,31.4867873,169.0,0.0,1600.0,104.7431957,31.4867873
1601.0,104.7314586,31.4868002,,0.0,1601.0,104.7314458,31.4867481
1602.0,104.6028248,31.4868149,,0.0,1603.0,104.602923,31.4868023
1603.0,104.6029119,31.4868645,559.0,4.0,1603.0,104.602923,31.4868023
1604.0,104.7364958,31.4868738,,0.0,1605.0,104.7365807,31.4870832
1605.0,104.736639,31.4868748,45.0,6.0,1605.0,104.7365807,31.4870832
1606.0,104.7324979,31.4869746,,0.0,1606.0,104.7324979,31.4869746
1607.0,104.6912278,31.4869791,,0.0,1609.0,104.69127,31.4870399
1608.0,104.7391028,31.4870729,,0.0,1611.0,104.7390635,31.4871001
1609.0,104.6913123,31.4871008,287.0,0.0,1609.0,104.69127,31.4870399
1610.0,104.6118474,31.4871116,,0.0,1610.0,104.6118474,31.4871116
1611.0,104.7390243,31.4871273,,0.0,1611.0,104.7390635,31.4871001
1612.0,104.7364989,31.4871489,,0.0,1605.0,104.7365807,31.4870832
1613.0,104.7366283,31.4871547,,0.0,1605.0,104.7365807,31.4870832
1614.0,104.6751265,31.4871875,,0.0,1614.0,104.6749908,31.4869363
1615.0,104.7659962,31.4873536,,0.0,1643.0,104.766097,31.4880378
1616.0,104.7541631,31.4874181,,0.0,1630.0,104.7544874,31.4878116
1617.0,104.7133419,31.4874633,,0.0,1619.0,104.7132945,31.4874845
1618.0,104.7402525,31.4875019,504.0,0.0,1618.0,104.7402525,31.4875019
1619.0,104.7132471,31.4875056,866.0,2.0,1619.0,104.7132945,31.4874845
1620.0,104.7524881,31.4875297,502.0,0.0,1623.0,104.7519713,31.4875978
1621.0,104.7293861,31.4876439,,0.0,1621.0,104.7293861,31.4876439
1622.0,104.7061698,31.4876513,545.0,0.0,1622.0,104.7061698,31.4876513
1623.0,104.7514545,31.4876659,734.0,2.0,1623.0,104.7519713,31.4875978
1624.0,104.6755651,31.4877356,,0.0,1624.0,104.6755651,31.4877356
1625.0,104.6982772,31.4878217,416.0,0.0,1628.0,104.6982342,31.4878597
1626.0,104.7700235,31.4878527,,0.0,1633.0,104.7699419,31.4879771
1627.0,104.7698287,31.4878725,,0.0,1633.0,104.7699419,31.4879771
1628.0,104.6981911,31.4878976,,0.0,1628.0,104.6982342,31.4878597
1629.0,104.754313,31.4879336,,0.0,1630.0,104.7544874,31.4878116
1630.0,104.7547368,31.4879473,337.0,0.0,1630.0,104.7544874,31.4878116
1631.0,104.7682901,31.4879596,725.0,2.0,1631.0,104.7683085,31.4880336
1632.0,104.7700768,31.4880017,,0.0,1633.0,104.7699419,31.4879771
1633.0,104.7698823,31.4880222,279.0,3.0,1633.0,104.7699419,31.4879771
1634.0,104.7663543,31.4880454,576.0,0.0,1643.0,104.766097,31.4880378
1635.0,104.765394,31.4880641,,0.0,1643.0,104.766097,31.4880378
1636.0,104.7639613,31.488092,,0.0,1636.0,104.7639613,31.488092
1637.0,104.7277526,31.4880978,,0.0,1649.0,104.727669,31.4882782
1638.0,104.7683269,31.4881076,369.0,0.0,1631.0,104.7683085,31.4880336
1639.0,104.7031534,31.4881384,,0.0,1642.0,104.703191,31.4881649
1640.0,104.6886716,31.48814,,0.0,1646.0,104.6887099,31.488205
1641.0,104.7324311,31.4881881,,0.0,1653.0,104.7324034,31.4885003
1642.0,104.7032286,31.4881915,253.0,0.0,1642.0,104.703191,31.4881649
1643.0,104.7664093,31.4881939,,0.0,1643.0,104.766097,31.4880378
1644.0,104.7615627,31.4882583,454.0,0.0,1645.0,104.7620381,31.4882639
1645.0,104.7625134,31.4882696,399.0,1.0,1645.0,104.7620381,31.4882639
1646.0,104.6887481,31.4882699,200.0,0.0,1646.0,104.6887099,31.488205
1647.0,104.6809907,31.4883291,417.0,0.0,1647.0,104.6809907,31.4883291
1648.0,104.7364604,31.4884282,,0.0,1667.0,104.7365242,31.489081
1649.0,104.7275854,31.4884586,,0.0,1649.0,104.727669,31.4882782
1650.0,104.7074826,31.4886992,,0.0,1650.0,104.7074826,31.4886992
1651.0,104.716035,31.4887044,199.0,3.0,1651.0,104.7161405,31.4888002
1652.0,104.7291505,31.4887357,510.0,0.0,1652.0,104.7291505,31.4887357
1653.0,104.7323757,31.4888125,,0.0,1653.0,104.7324034,31.4885003
1654.0,104.716246,31.488896,,0.0,1651.0,104.7161405,31.4888002
1655.0,104.6704573,31.4889055,,0.0,1658.0,104.6704403,31.4889632
1656.0,104.6705333,31.488928,,0.0,1658.0,104.6704403,31.4889632
1657.0,104.670484,31.4889741,,0.0,1658.0,104.6704403,31.4889632
1658.0,104.6703909,31.4889809,,0.0,1658.0,104.6704403,31.4889632
1659.0,104.6998219,31.4890806,,0.0,1659.0,104.6998219,31.4890806
